CaseID,weight,tm_start,tm_finish,duration,DOV_MANCHECK,XTESS171,XPARTY3,XPARTY7,xideo,XREL1,XREL2,XPCM0160,XPP10035,XPH1ANXI,Q1_Sentence1,Q1_Sentence2,Q1_Sentence3,Q1_Sentence4,Q1_Sentence5,Q1_Sentence6,Q1_Sentence1_Refused,Q1_Sentence2_Refused,Q1_Sentence3_Refused,Q1_Sentence4_Refused,Q1_Sentence5_Refused,Q1_Sentence6_Refused,Q2_Sentence1,Q2_Sentence2,Q2_Sentence3,Q2_Sentence4,Q2_Sentence5,Q2_Sentence6,Q2_Sentence1_Refused,Q2_Sentence2_Refused,Q2_Sentence3_Refused,Q2_Sentence4_Refused,Q2_Sentence5_Refused,Q2_Sentence6_Refused,Q3,Q4,Q5A_OptA_Genre,Q5A_OptB_Genre,Q5B_OptA_Genre,Q5B_OptB_Genre,Q5C_OptA_Genre,Q5C_OptB_Genre,Q5A_OptA_Topic,Q5A_OptB_Topic,Q5B_OptA_Topic,Q5B_OptB_Topic,Q5C_OptA_Topic,Q5C_OptB_Topic,Q5A_OptA_Style,Q5A_OptB_Style,Q5B_OptA_Style,Q5B_OptB_Style,Q5C_OptA_Style,Q5C_OptB_Style,Q5A_OptA_Medium,Q5A_OptB_Medium,Q5B_OptA_Medium,Q5B_OptB_Medium,Q5C_OptA_Medium,Q5C_OptB_Medium,Q5A_OptA_Length,Q5A_OptB_Length,Q5B_OptA_Length,Q5B_OptB_Length,Q5C_OptA_Length,Q5C_OptB_Length,Q5A,Q5B,Q5C,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,DOV_Q7Q8Q9_Order,Q7,Q8,Q9,ppage,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,PPREG4,pprent,ppstaten,PPT01,PPT25,PPT612,PPT1317,PPT18OV,ppwork,ppnet
14,1.463,12dec2014 01:12:41,12dec2014 01:25:09,12,1,1,2,7,6,2,2,32,3,2,while watching the monkeys my hot dog fell.,My nephew laughed at the elephants.,My mother was tired from walking so much.,We had big lunch before we started looking at the animals.,We fed the animals while we were there.,A huge bird flew over my head while we were in the bird cage.,,,,,,,,,,,,,,,,,,,2,2,1,3,2,3,1,3,4,11,9,11,3,14,3,2,2,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,2,1,2,,,,,,,"Q7,Q9,Q8",3,3,3,43,9,2,2,2,1,2,3,2,1,1,3,2,58,0,0,0,0,2,6,1
15,.985,12dec2014 01:15:56,12dec2014 01:35:15,19,2,1,1,2,5,1,4,3,2,2,"When we rode the train, we saw the tropical birds.",A trail led to the primate cages that housed a lot of gorillas.,There was a swampy area that housed alligators.,There was a forest area that was a habitat for brown bears.,We bought some popcorn to feed to the monkeys.,The tigers had the biggest artificial habitat in the compoud.,,,,,,,,,,,,,,,,,,,,,3,1,3,3,3,1,13,1,11,13,13,5,2,2,1,1,2,3,2,2,2,2,1,2,1,1,1,2,1,1,1,1,1,,,,,,,"Q7,Q8,Q9",2,3,3,55,10,3,1,2,1,2,3,14,1,1,3,2,63,0,0,0,0,2,1,1
17,.6398,12dec2014 01:19:28,12dec2014 21:29:15,1209,2,1,1,3,4,2,5,32,4,1,"I thought that the wild birds, were the most awesome to see.",I was really fun watching the cub bears frolic around.,I love the Penquins in there little suits of black and white.,Look how tall the giraffes can reach up in the trees.,I seals look like they are having so much fun putting on a show for us.,"The lions  were bored, yawning so big.",,,,,,,,,,,,,,,,,,,,,2,3,1,3,1,1,10,13,6,14,2,4,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,,,,,,,"Q8,Q7,Q9",4,5,6,61,9,2,1,2,1,1,4,6,2,1,2,1,35,0,0,0,0,1,6,1
18,.7373,12dec2014 01:24:39,12dec2014 01:37:43,13,2,1,1,3,4,13,5,3,2,2,do not like see crocodiles,do not like to see snakes,why  keep  polar bears,never go to  see birds,only monky are fun,capivity  is a bad idea specialy for tigers.,,,,,,,,,,,,,,,,,,,,,2,3,3,1,2,2,10,14,14,3,9,8,1,3,2,2,3,1,2,1,2,2,1,2,2,2,2,1,1,1,1,2,2,,,,,,,"Q7,Q8,Q9",1,2,3,58,13,4,1,1,1,2,2,19,1,1,4,1,93,0,0,0,0,2,2,1
19,.6397,12dec2014 01:35:13,12dec2014 01:41:45,6,2,1,2,7,2,2,2,12,2,2,My favorite animal is the elephant.,The giraffes are so commanding.,It is so much fun watching the polar bears playing in the water.,The African wild dogs scare me!,The tigers are quite majestic.,The sea turtle display was awesome!,,,,,,,,,,,,,,,,,,,,,2,3,3,3,3,1,10,11,11,12,12,5,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,,,,,,,"Q7,Q8,Q9",3,4,4,44,12,4,1,2,1,7,1,16,1,0,2,1,31,0,0,3,2,2,1,1
20,1.0671,12dec2014 01:52:52,14dec2014 20:32:50,3999,2,1,2,7,4,3,3,32,2,2,I love seeing the lions.,The monkeys on the island are funny,The elephants are eating hay with their trunks,the black panther is walking back and forth in his cage.,I enjoy watching the hippos open their big mouths.,My favorite bird is the Peacock.,,,,,,,,,,,,,,,,,,,,,2,3,1,2,1,3,10,11,3,10,4,11,1,1,1,3,1,2,1,2,1,2,1,1,1,1,1,2,1,2,2,2,2,,,,,,,"Q8,Q9,Q7",2,3,3,76,9,2,1,2,1,2,1,11,6,1,4,1,93,0,0,0,0,2,5,1
21,1.6255,12dec2014 02:06:54,12dec2014 02:25:55,19,2,1,1,1,6,11,6,32,1,2,We went to the wild life center and the first thing we saw was the monkeys.,Then we went to the other side and fed the birds green worms.,We stopped by the elephant compound and saw them dance with the trainer.,Then we stopped to have lunch and watched the polar bears swimming with the seals.,We found the gift shop and bought some T shirts with a picture of a mighty Lion on it.,On our way out we finally were able to see the giant turtle with his head out of his shell.,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,2,9,10,7,5,8,7,1,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,2,1,2,1,,,,,,,"Q7,Q9,Q8",1,3,3,55,9,2,1,2,1,3,4,16,1,1,3,1,74,0,0,0,0,3,7,1
22,1.4741,12dec2014 02:08:44,12dec2014 02:14:03,5,2,1,2,7,2,9,2,3,2,2,THE TIGER WAS SCARY.,THE LION WAS BIG.,THE BEAR IS BROWN.,THE SNAKE WAS LONG.,THE ELEGHANT LIKES PEANUTS.,THE GIRAFF WAS TALL.,,,,,,,,,,,,,,,,,,,,,2,2,2,1,3,2,10,10,10,1,12,9,2,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,2,1,,,,,,,"Q9,Q8,Q7",1,1,2,41,13,4,2,2,1,4,1,18,1,1,3,1,59,0,0,0,1,3,2,1
23,.8093,12dec2014 02:34:42,12dec2014 02:43:22,8,1,1,1,3,5,2,5,12,3,2,"At the entrance, we were greeted by goats.",The bears are hibernating at this time of the year.,The gorillas were fascinated by the onlookers.,We really enjoyed watching the Bengal tigers.,Elephants are my sister's favorite animal.,I avoided the bird sanctuary as I am not fond of birds.,,,,,,,,,,,,,,,,,,,3,2,2,2,2,2,3,3,8,9,8,8,13,11,3,3,1,3,3,3,2,2,1,2,1,2,2,2,1,1,1,2,1,2,1,,,,,,,"Q9,Q8,Q7",3,4,4,58,12,4,1,2,1,2,1,19,1,1,1,1,14,0,0,0,0,2,1,1
24,.5964,12dec2014 02:36:06,12dec2014 02:42:11,6,2,1,2,7,2,5,4,7,1,2,The elephants were not behaving like Republicans.,A hyena was trying to look serious.,A colorful bird in the walk-through aviary landed on my shoulder.,The lion was looking for someone vulnerable to lie down with.,A hipster antelope was using a treadmill.,And the keeper was very fond of rum.,,,,,,,,,,,,,,,,,,,,,2,3,1,3,1,2,8,12,1,13,6,7,2,3,3,1,3,3,1,1,2,1,1,1,2,2,1,2,2,1,2,1,1,,,,,,,"Q9,Q8,Q7",1,3,2,62,14,4,1,1,1,2,1,14,1,1,1,1,11,0,0,0,0,2,1,1
25,.8809,12dec2014 02:42:58,12dec2014 03:13:11,30,2,1,1,2,5,1,1,32,2,2,The camel is capable of humping to please,How much could a dentist earn from making dentures for a crocodile?,Monkeys really go Ape over bananas.,The snakes all really know their scales.,The koalas really know how to hug.,The sloths certainly look at life from a different perspective.,,,,,,,,,,,,,,,,,,,,,1,2,2,2,1,3,6,10,7,10,6,11,3,3,1,1,3,2,2,1,1,1,1,1,2,2,2,2,1,1,2,1,2,,,,,,,"Q8,Q7,Q9",2,4,3,67,9,2,1,1,1,2,1,11,1,0,3,1,62,0,0,0,0,2,5,1
27,.5904,12dec2014 02:59:40,12dec2014 03:07:23,7,2,1,1,3,6,2,1,32,2,2,monkeys are a playfull group,I don't especially like snakes,a good thing giraffes have trees to nibble on,polar bears are huge,the tigers seem to sleep a lot,why do dolfins like to be near people?,,,,,,,,,,,,,,,,,,,,,2,1,1,3,1,1,8,5,3,14,4,3,2,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,2,1,1,2,2,,,,,,,"Q7,Q8,Q9",2,2,3,76,11,3,1,1,1,2,1,12,1,0,2,1,41,0,0,0,0,2,5,0
28,.6132,12dec2014 03:02:41,12dec2014 03:13:04,10,2,1,2,5,3,3,5,1,3,2,The first animals we saw were the lions moving around in the cage.,Then we saw the giraffs and they are very tall with really long necks.,Then came the elephants and we got to feed them peanuts.,Then were the penguins sliding in and out of the water.,Then were the polar bears playing in the water with beach balls.,Finally we saw tigers and they are huge cats but so pretty.,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,1,8,7,2,8,9,3,1,2,2,1,3,3,2,2,1,1,1,1,2,1,1,2,1,2,2,2,1,,,,,,,"Q9,Q8,Q7",4,5,3,67,9,2,1,1,0,2,1,7,4,1,4,2,92,0,0,0,0,2,2,1
29,1.0186,12dec2014 03:23:21,12dec2014 03:34:19,10,2,1,2,7,1,12,5,21,3,2,I saw the penguins waddling around and diving into their pond.,The hippo was very tired and did not move an inch.,The lion was pacing inside his inclosure and looked very unhappy.,The sea otter was having fun playing on his slide.,I was disappointed the wolves were not outside today.,The polar bear was swimming in the large pool.,,,,,,,,,,,,,,,,,,,,,1,2,2,2,1,3,5,8,10,7,1,13,3,2,2,1,3,2,1,2,2,1,2,1,2,2,1,1,2,2,1,2,2,,,,,,,"Q7,Q8,Q9",3,4,2,32,13,4,1,2,1,1,3,15,5,1,2,1,33,0,0,0,0,1,1,1
30,1.9722,12dec2014 03:24:11,12dec2014 03:30:10,5,1,1,2,5,4,13,6,1,3,2,First I see a seal at entrance.,Then I get to the bear place.,Elephants look huge.,Monkeys are noise.,Deer run fast in an open plain.,N/A,,,,,,,,,,,,,,,,,,,1,1,3,1,2,3,2,2,11,1,9,13,7,7,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,,,,,,,"Q9,Q7,Q8",3,3,4,46,13,4,3,1,1,1,1,12,1,1,3,1,56,0,0,0,0,1,1,0
31,.7927,12dec2014 03:30:02,12dec2014 03:38:14,8,2,1,2,5,4,2,3,10,2,2,In the morning we saw the otters.,The tigers were kept far out of reach.,The bear seldom came out of it's den.,Everyone enjoyed feeding the giraffes.,My daughter was in a staring contest with a tortoise.,My favorite animal was the snowy white owl.,,,,,,,,,,,,,,,,,,,,,3,3,1,1,2,1,12,12,5,1,8,5,1,2,1,1,1,1,2,1,1,1,2,2,2,2,1,2,1,1,2,1,1,,,,,,,"Q8,Q7,Q9",3,3,3,51,13,4,1,1,1,5,1,16,1,1,3,3,54,0,0,2,1,2,1,1
32,.7881,12dec2014 03:53:13,12dec2014 04:00:51,7,2,1,2,5,3,2,3,32,2,2,The gorilla enjoyed watching the people watch him.,A polar bear took a swim in the pool.,There were some scary looking spiders there.,I bought fish to feed to the seals.,I have never seen a bird as big as the ostrich.,My favorite animal was a tiger.,,,,,,,,,,,,,,,,,,,,,2,3,2,3,3,1,7,14,10,11,13,2,2,1,3,2,3,3,2,1,2,2,1,2,1,2,1,1,2,2,1,2,2,,,,,,,"Q7,Q8,Q9",1,3,3,63,14,4,1,1,1,2,1,16,1,1,2,1,41,0,0,0,0,2,5,1
33,1.0695,12dec2014 04:44:06,18dec2014 07:41:31,8817,2,1,1,1,6,2,5,3,1,2,"While walking through the Australasia section, I was fascinated by the information about the echidna, which is a rare egg-laying mammal.",The Manatee Coast display is a wonderful conservation and rehabilitation program for injured Florida manatees.,"Each time I visit, I like to spend time with Colo, the first gorilla born in captivity, who is close to my age.","Photographing the okapi was a challenge, because the lighting was poor and did not adequately capture the richness of the velvety brown coat with the striped markings on its legs and hindquarters.","I was disappointed that the white-handed gibbons were not on display during my visit, as I enjoy spending a lot of time observing their amusing anthropomorphic behavior.","Despite visiting on a chilly and damp evening, the spectacular Wildlights holiday light display illuminated a dreary night and painted the entrance lake with a festive light show accompanied by traditional carols.",,,,,,,,,,,,,,,,,,,,,3,1,1,1,2,2,13,2,6,3,9,9,3,2,2,2,1,1,1,2,1,2,2,2,1,1,2,1,1,1,1,1,1,,,,,,,"Q9,Q8,Q7",1,2,1,57,12,4,1,2,1,2,1,15,1,1,2,1,31,0,0,0,0,2,2,1
34,.5175999999999999,12dec2014 04:46:17,12dec2014 04:52:04,5,2,1,1,3,4,13,5,32,2,2,The gorillas climbed trees,Snakes were green.,The lions roared.,I saw ostriches eat food.,The dolphins put on a show.,The wild pigs were scary.,,,,,,,,,,,,,,,,,,,,,2,3,1,2,2,1,8,11,3,9,7,5,3,1,1,1,2,1,1,2,2,1,2,2,1,2,1,1,1,2,2,1,2,,,,,,,"Q7,Q8,Q9",2,2,4,50,12,4,1,1,1,1,3,1,5,1,2,2,33,0,0,0,0,1,7,1
35,.7549,12dec2014 04:46:57,12dec2014 05:03:45,16,1,1,1,2,5,11,4,22,2,2,The children watched the multitudes of glistening fish swimming behind the aquarium window.,"After jamming a banana in his mouth, the baboon threw the banana peel at his handler.",We all watched the penguins waddle quickly to take their turn to slide into the water.,I reached my hand through the fence with a treat for the giraffe with the long pink tongue.,The condor perched menacingly on his perch as if waiting for a suitable victim.,"When I was a child, I remember riding the 100 year old turtle in Toledo on an outing with my school.",,,,,,,,,,,,,,,,,,,1,1,2,3,3,3,2,3,9,14,12,11,10,14,2,1,1,2,1,3,2,1,2,2,1,2,1,1,2,2,2,2,1,2,2,,,,,,,"Q9,Q8,Q7",2,3,3,62,12,4,1,2,1,1,1,11,5,1,2,1,31,0,0,0,0,1,1,1
36,.9171,12dec2014 05:07:47,12dec2014 05:20:46,12,2,1,2,6,3,2,4,32,3,2,I saw the tigers resting in the shade.,The Flamingos stood on one leg,The monkeys were grooming each other.,I saw the sting rays swimming in a large pool.,I was able to throw food at the elephants.,I walked through the butterfly enclosure.,,,,,,,,,,,,,,,,,,,,,3,2,2,1,2,2,12,10,9,1,7,7,2,3,1,2,3,3,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,,,,,,,"Q8,Q9,Q7",3,3,3,75,12,4,4,1,1,2,1,13,1,1,3,1,74,0,0,0,0,2,5,1
37,.4878,12dec2014 05:45:04,14dec2014 23:08:12,3923,2,1,2,5,4,2,5,32,2,2,"After turning left into a large structure, we could see the elephants.",Around the corner from the elephan house we came to the Lion's Den.,Inside the Lion's Den we encountered many species of wild cats. I liked the ocelot the best.,Then off we went to the Gorilla Habitat!,We watched  the polar bears frolicing in their pool,Last but not least we went to see the Koala House.,,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,3,9,3,8,6,10,14,2,1,1,3,3,2,1,2,2,2,2,2,1,1,2,1,2,1,2,1,1,,,,,,,"Q7,Q9,Q8",2,4,3,65,13,4,1,2,1,2,1,16,1,1,1,1,14,0,0,0,0,2,5,1
38,.945,12dec2014 05:51:03,12dec2014 06:13:10,22,2,1,2,6,2,3,4,1,2,2,"Whilst standing below the imported palm tree, I had the pleasure of watching two african parrots sharing a meal.","Upon entering the safari portion of the property, the incredibly pungent odor of the lions unkempt bathroom area overwhelmed us all.","""If I don't see a big fat piece of bacon today I'm going to be furious!"", shouted my great-grandmother in reference to the hogs she hoped to sight.",The rainbow in the sky seemed to emerge out of the trees and settle directly into the monkey's cage.,Tony Soprano oftentimes met Nicky Deuce near the snake pit to collect his money to show him the Boa Constrictor that would eat him whole if he was light on the envelope.,"Our favorte part of the Wildlife Park was the walruse's constant, albeit short-lived, mating sessions.",,,,,,,,,,,,,,,,,,,,,2,1,2,1,3,3,8,2,8,3,13,11,2,3,1,3,3,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,,,,,,,"Q9,Q7,Q8",2,4,3,26,12,4,1,1,0,4,1,19,6,1,1,1,22,0,0,0,0,4,1,1
39,.3827,12dec2014 05:57:14,12dec2014 06:09:35,12,2,1,2,7,4,11,2,32,2,2,The first animal we saw was a graceful giraffe.,The swinging monkeys were fun to watch.,The lions were a little scary.,I wished I could swim with the hippos.,The peacocks were so colorful.,My favorite animal was the beautiful black panther.,,,,,,,,,,,,,,,,,,,,,1,2,2,3,3,3,3,7,10,13,14,13,3,3,1,3,3,3,1,1,1,2,2,1,1,2,1,1,2,1,1,2,2,,,,,,,"Q7,Q8,Q9",4,4,3,48,10,3,5,2,1,2,3,9,3,1,4,2,93,0,0,0,1,1,4,1
40,.3011,12dec2014 06:21:36,12dec2014 06:43:32,21,2,1,1,1,7,2,2,32,1,2,What a menagerie!  An oragutan was sliding down a giraffe's long sleek neck.,The lion was combing his auburn hair.,The lumbering elephant was trying to dance.,The colorful parrot was singing off key.,"Oh, what joy to see the graceful swans.","All this, as the sleepy-eyed bear was stretching and pretending to ignore them all.",,,,,,,,,,,,,,,,,,,,,2,3,1,3,2,2,8,14,4,14,7,10,1,1,3,3,3,3,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,,,,,,,"Q9,Q7,Q8",1,4,3,66,13,4,1,2,1,3,1,12,1,0,3,1,61,0,0,0,0,3,5,1
41,1.414,12dec2014 10:22:53,15dec2014 06:21:41,4078,2,1,2,5,4,3,4,12,3,2,"During our visit, we viewed the baby monkeys.",Giraffes are truly beautiful.,The Guerilla's were so caring for their young,"Bountiful jungle plants, and macau's  were visible.","Animals such as lions, should be viewed in their natural habitat.",Kangaroos jump so high!,,,,,,,,,,,,,,,,,,,,,2,3,3,2,3,2,9,14,14,10,11,7,3,2,3,2,2,3,2,1,1,2,2,1,2,1,1,2,2,2,2,1,2,,,,,,,"Q9,Q7,Q8",2,2,5,41,11,3,3,1,1,4,1,17,1,1,4,1,93,0,0,1,1,2,1,1
42,.6954,12dec2014 11:41:37,12dec2014 11:51:07,9,1,1,1,2,6,3,2,29,1,1,There were 3 monkeys hanging from the tree.,The polar bears swam in the pools.,Two lions were sunning in the grassland.,I saw several elephants eating straw.,"When I arrived, it was feeding time for the tigers.",It was very hard finding the eagles in the aviary.,,,,,,,,,,,,,,,,,,,3,3,1,3,1,3,3,2,3,14,6,13,11,9,3,3,2,1,3,2,2,1,2,1,2,2,2,2,2,1,2,2,1,1,2,,,,,,,"Q9,Q7,Q8",1,3,3,60,12,4,1,1,1,2,1,13,1,1,2,1,31,0,0,0,0,2,1,1
43,.5661,12dec2014 12:21:13,12dec2014 12:28:51,7,2,1,2,7,2,12,5,21,2,2,Elephants make great mothers.,I do not like to see caged lions unless it is for rescue purposes.,Aviaries are a fun place to see birds and plants.,Polar bears are hard to watch in captivity.,I wish there was a better way to see giraffes in nature.,Birds of prey are my favorite birds but do not belong in captivity.,,,,,,,,,,,,,,,,,,,,,3,2,1,2,1,3,12,9,6,9,5,12,2,3,1,2,3,1,1,2,2,2,2,2,1,1,2,1,2,2,1,1,2,,,,,,,"Q7,Q9,Q8",2,3,3,52,12,4,1,2,1,4,1,16,1,0,3,1,56,0,0,0,0,4,2,1
