StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,IC,gender,age,edu1,attention1,interest,TV,news,vote,LRself,RFself,PSself,GRself,LOself,LRparty_1,LRparty_2,LRparty_3,LRparty_4,LRparty_5,LRparty_6,LRparty_7,LRparty_25,LRparty_26,LRtime_First Click,LRtime_Last Click,LRtime_Page Submit,LRtime_Click Count,RFparty_1,RFparty_2,RFparty_3,RFparty_4,RFparty_5,RFparty_6,RFparty_7,RFparty_8,RFparty_9,RFtime_First Click,RFtime_Last Click,RFtime_Page Submit,RFtime_Click Count,PSparty_1,PSparty_2,PSparty_3,PSparty_4,PSparty_5,PSparty_6,PSparty_7,PSparty_8,PSparty_9,PStime_First Click,PStime_Last Click,PStime_Page Submit,PStime_Click Count,GRparty_1,GRparty_2,GRparty_3,GRparty_4,GRparty_5,GRparty_6,GRparty_7,GRparty_8,GRparty_9,GRparty_First Click,GRparty_Last Click,GRparty_Page Submit,GRparty_Click Count,LOparty_1,LOparty_2,LOparty_3,LOparty_4,LOparty_5,LOparty_6,LOparty_7,LOparty_8,LOparty_9,LOtime_First Click,LOtime_Last Click,LOtime_Page Submit,LOtime_Click Count,manipulation_1,manipulation_2,manipulation_3,manipulation_4,manipulation_5,manipulation_6,manipulation_7,manipulation_DO_1,manipulation_DO_2,manipulation_DO_3,manipulation_DO_4,manipulation_DO_5,manipulation_DO_6,manipulation_DO_7,LRCtrl_1,LRCtrl_2,LRCtrl_3,LRCtrl_4,LRCtrl_5,LRCtrl_6,LRCtrl_7,LRCtrl_8,LRCtrl_9,LRCtrl_time_First Click,LRCtrl_time_Last Click,LRCtrl_time_Page Submit,LRCtrl_time_Click Count,RFCtrl_1,RFCtrl_2,RFCtrl_3,RFCtrl_4,RFCtrl_5,RFCtrl_6,RFCtrl_7,RFCtrl_8,RFCtrl_9,RFCtrl_time_First Click,RFCtrl_time_Last Click,RFCtrl_time_Page Submit,RFCtrl_time_Click Count,PSCtrl_1,PSCtrl_2,PSCtrl_3,PSCtrl_4,PSCtrl_5,PSCtrl_6,PSCtrl_7,PSCtrl_8,PSCtrl_9,PSCtrl_time_First Click,PSCtrl_time_Last Click,PSCtrl_time_Page Submit,PSCtrl_time_Click Count,GRCtrl_1,GRCtrl_2,GRCtrl_3,GRCtrl_4,GRCtrl_5,GRCtrl_6,GRCtrl_7,GRCtrl_8,GRCtrl_9,GRCtrl_time_First Click,GRCtrl_time_Last Click,GRCtrl_time_Page Submit,GRCtrl_time_Click Count,LOCtrl_1,LOCtrl_2,LOCtrl_3,LOCtrl_4,LOCtrl_5,LOCtrl_6,LOCtrl_7,LOCtrl_8,LOCtrl_9,LOCtrl_time_First Click,LOCtrl_time_Last Click,LOCtrl_time_Page Submit,LOCtrl_time_Click Count,prime,integration,interior,environment,justice,leftCtrl,leftCtrl_time_First Click,leftCtrl_time_Last Click,leftCtrl_time_Page Submit,leftCtrl_time_Click Count,rightCtrl,rightCtrl_time_First Click,rightCtrl_time_Last Click,rightCtrl_time_Page Submit,rightCtrl_time_Click Count,leftTreat,leftTreat_time_First Click,leftTreat_time_Last Click,leftTreat_time_Page Submit,leftTreat_time_Click Count,rightTreat,rightTreat_time_First Click,rightTreat_time_Last Click,rightTreat_time_Page Submit,rightTreat_time_Click Count,know1,know1_DO_1,know1_DO_2,know1_DO_3,know1_DO_4,know1_DO_5,know2,attention2,attention2_DO_1,attention2_DO_2,attention2_DO_3,attention2_DO_4,attention2_DO_5,know3,know3_DO_1,know3_DO_2,know3_DO_3,know3_DO_4,know3_DO_5,rid,Q_TotalDuration,exp1,party,exp2,direction,FL_32_DO_FL_34,FL_32_DO_FL_36,FL_32_DO_FL_104,FL_32_DO_FL_105,FL_32_DO_FL_106,FL_39_DO_FL_44,FL_39_DO_FL_107,FL_39_DO_FL_108,FL_39_DO_FL_109,FL_101_DO_Experiment1-Refugees,FL_101_DO_Experiment1-PublicSector,FL_101_DO_Experiment1-Environment,FL_101_DO_Experiment1-LawandOrder,FL_102_DO_Experiment1-RefugeesControl,FL_102_DO_Experiment1-PublicSectorControl,FL_102_DO_Experiment1-EnvironmentControl,FL_102_DO_Experiment1-LawandOrderControl,FL_62_DO_FL_63,FL_62_DO_FL_103,FL_62_DO_FL_110,FL_64_DO_FL_65,FL_64_DO_FL_111,PoliticalAttitudes_DO_LOself,PoliticalAttitudes_DO_GRself,PoliticalAttitudes_DO_RFself,PoliticalAttitudes_DO_LRself,PoliticalAttitudes_DO_PSself
2018-04-13 8:22:46,2018-04-13 8:23:30,0,100,44,1,2018-04-13 8:23:31,R_1jQe17QY18J3xUu,anonymous,EN,1,1,22,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5ad0a0ec-94c6-4a16-a24e-ff7466dc1396,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-13 8:38:43,2018-04-13 8:39:05,0,100,22,1,2018-04-13 8:39:05,R_1OlQUih7zAHTMk4,anonymous,DA,1,1,18,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5ad0a4a8-9f6f-497d-bf9e-dbc2347e0e7e,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-13 8:58:53,2018-04-13 9:08:09,0,100,556,1,2018-04-13 9:08:10,R_1rBO2MwD1qTDUqB,anonymous,DA,1,2,55,10,5,3,5,4,6,3,5,5,6,1,9,8,9,12,6,3,6,9,6,17.617,95.46,96.221,38,3,6,6,1,3,8,7,7,7,6.495,35.076,35.615,28,7,6,6,3,7,5,5,8,5,6.044,50.554,51.088,24,7,6,8,8,9,9,8,8,8,9.728,52.641,53.282,32,5,5,4,2,5,4,6,4,4,5.173,42.459,42.986,24,1,1,NA,NA,NA,NA,NA,1,5,4,3,6,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,16.752,23.74,24.592,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,1,4,5,179,5,1,2,4,3,5,5,1,4,3,2,5,5ad0a951-ef21-4d44-adcd-7f645cb824d7,556,umuligt kan danne,Alternativet,control,1,NA,NA,NA,NA,1,3,2,1,4,4,2,1,3,NA,NA,NA,NA,1,NA,NA,1,NA,5,2,4,1,3
2018-04-13 9:18:11,2018-04-13 9:24:04,0,100,353,1,2018-04-13 9:24:04,R_3ffbQOgUu2VBR2X,anonymous,DA,1,2,28,4,5,2,1,2,11,2,11,9,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,7,10,1,5,1,11,3,5.861,43.217,44.43,40,7,9,11,1,8,8,11,3,8,4.975,33.797,34.73,42,4,1,5,7,11,9,11,6,10,2.161,28.935,29.82,35,4,4,10,1,11,9,11,1,10,1.899,21.622,22.342,26,1,6,8,1,11,8,11,1,10,2.012,27.769,28.47,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9.824,22.717,23.16,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,2,1,5,79,2,3,1,2,4,5,3,4,2,1,3,5,5ad0ade8-f3cc-4236-b5ea-f15e4a69ca33,353,control,Alternativet,control,2,1,NA,NA,NA,NA,1,3,2,4,NA,NA,NA,NA,1,2,4,3,1,NA,NA,NA,1,5,2,4,1,3
2018-04-13 9:49:39,2018-04-13 9:50:28,0,100,49,1,2018-04-13 9:50:29,R_2uHyCCY3sAfNqUB,anonymous,DA,1,1,18,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5ad0b528-037c-407e-ad32-5e1d424be1d5,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-13 9:54:35,2018-04-13 9:55:29,0,100,54,1,2018-04-13 9:55:29,R_2cpaV2IbCDiwDKG,anonymous,EN,1,1,21,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5ad0b652-8e05-4a01-90d3-17635ef6bab3,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-13 10:00:39,2018-04-13 10:00:58,0,100,19,1,2018-04-13 10:00:59,R_27Cl9Qgw0rBp04Y,anonymous,DA,1,1,32,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5ad0b7b6-a003-4227-a32e-1316699d5d11,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-13 10:13:07,2018-04-13 10:13:35,0,100,28,1,2018-04-13 10:13:36,R_3ndcWbvqJ7fpA4i,anonymous,DA,1,2,40,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5ad0bab5-f4f6-4473-b4ed-c7514c5699a6,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-13 10:30:18,2018-04-13 10:40:56,0,100,638,1,2018-04-13 10:40:57,R_2b175R5Vtfw8xoK,anonymous,DA,1,1,50,3,5,3,7,6,8,9,4,5,10,8,8,10,6,9,8,5,3,8,3,6.168,108.458,108.905,44,5,4,6,3,7,6,9,5,9,2.186,43.252,44.361,29,6,4,6,5,8,8,10,6,9,2.461,49.6,50.812,28,6,9,8,6,7,8,8,9,6,5.275,49.146,50.995,26,5,5,9,5,10,9,8,7,8,4.143,45.016,46.266,31,1,1,NA,NA,NA,NA,NA,4,1,5,3,2,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7.387,37.564,38.72,10,3,2,4,1,3,5,180,2,4,2,1,3,5,4,1,3,2,4,5,5ad0becd-c640-442b-bbeb-9ad37271b166,638,umuligt kan danne,Dansk Folkeparti,paa ingen maade oensker,2,NA,NA,NA,1,NA,3,1,4,2,3,2,1,4,NA,NA,NA,NA,NA,NA,1,NA,1,2,3,5,1,4
2018-04-13 11:04:49,2018-04-13 11:08:40,0,100,230,1,2018-04-13 11:08:41,R_1lg9ZgvVbSeKiXb,anonymous,DA,1,1,38,4,5,1,8,5,1,3,7,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,7,8,6,6,7,3.9,8.77,9.336,19,5,6,7,6,6,7,6,5,7,1.631,7.664,8.287,20,5,6,7,7,8,7,6,5,5,1.24,5.605,6.119,20,5,6,7,7,8,8,6,6,6,1.16,6.627,6.995,22,4,5,6,7,7,7,7,6,6,1.618,5.233,5.72,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1.287,5.093,5.113,4,NA,NA,NA,NA,NA,2,2,1,4,3,5,175,2,3,4,1,2,5,3,3,1,4,2,5,5ad0c6ec-48a3-49a2-aa26-2ebf46de06a1,230,control,Liberal Alliance,har et klart oenske om,1,1,NA,NA,NA,NA,2,4,1,3,NA,NA,NA,NA,1,3,2,4,NA,1,NA,1,NA,3,2,4,1,5
2018-04-13 11:09:27,2018-04-13 11:15:20,0,100,353,1,2018-04-13 11:15:20,R_1n9qg0FGzEplHF1,anonymous,DA,1,2,18,9,5,2,3,2,2,5,5,7,9,10,4,5,5,4,5,5,4,5,5,7.176,41.376,42.809,38,6,6,6,6,6,6,6,6,6,0.737,12.092,13.032,23,6,6,6,6,6,6,6,6,6,0.963,32.792,33.701,24,6,6,6,6,6,6,6,6,6,1.059,10.978,12.679,24,6,6,6,6,6,6,6,6,5,2.524,20.186,20.962,27,1,1,NA,NA,NA,NA,NA,5,1,6,4,2,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8.296,14.81,16.126,9,4,4,1,3,2,5,100,2,1,4,3,2,5,2,3,1,4,2,5,5ad0c7e6-fef8-42c9-a5bd-d6de8b0bb2bb,353,allerede har dannet,Dansk Folkeparti,har et klart oenske om,2,NA,1,NA,NA,NA,3,1,4,2,4,3,2,1,NA,NA,NA,NA,NA,1,NA,NA,1,2,5,4,1,3
2018-04-13 11:43:40,2018-04-13 11:49:17,0,100,336,1,2018-04-13 11:49:17,R_W7iM39hvfXXfs7D,anonymous,DA,1,2,19,6,5,2,1,1,11,2,8,10,7,11,6,10,5,11,2,4,1,9,3,28.096,61.154,62.865,14,6,5,7,1,9,6,10,4,8,8.247,26.53,27.352,10,2,1,8,7,9,8,10,2,9,6.419,17.902,18.893,11,4,3,7,7,11,8,11,2,9,17.67,34.671,35.661,9,7,5,7,1,10,8,10,5,8,16.038,34.629,35.677,12,1,1,NA,NA,NA,NA,NA,1,2,3,4,6,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,22.628,22.628,25.371,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,4,5,180,2,4,1,3,2,5,3,2,3,4,1,5,5ad0d015-a8ba-4f29-bd13-60d098fbc7e9,336,umuligt kan danne,Dansk Folkeparti,control,1,NA,NA,NA,1,NA,3,1,4,2,3,4,2,1,NA,NA,NA,NA,1,NA,NA,1,NA,5,3,2,1,4
2018-04-13 11:55:54,2018-04-13 12:05:25,0,100,571,1,2018-04-13 12:05:26,R_11ch9kzkXfiYagY,anonymous,DA,1,1,34,10,5,2,1,8,2,8,3,3,5,5,6,9,3,6,5,6,1,7,4,37.175,99.107,99.973,16,6,5,10,1,11,5,11,5,9,10.904,46.239,46.669,18,5,3,9,6,9,8,11,5,8,45.071,82.262,83.795,13,7,7,7,7,7,7,7,7,7,11.013,13.764,14.812,9,12,12,12,12,12,12,12,12,12,30.205,33.34,34.019,9,1,1,NA,NA,NA,NA,NA,2,4,5,1,3,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,19.08,19.08,20.549,1,NA,NA,NA,NA,NA,1,4,1,3,2,5,168,2,4,1,2,3,5,1,2,1,4,3,5,5ad0d2e3-6b0c-4939-bc49-bd395ceda3af,571,umuligt kan danne,Alternativet,paa ingen maade oensker,1,NA,NA,NA,NA,1,1,3,2,4,2,1,4,3,NA,NA,NA,NA,NA,NA,1,1,NA,4,3,5,1,2
2018-04-13 12:02:26,2018-04-13 12:12:01,0,100,574,1,2018-04-13 12:12:01,R_6QCQTd27w2aNdQZ,anonymous,DA,1,1,34,6,5,2,3,2,11,4,7,8,6,8,8,9,7,7,4,3,2,5,4,40.201,61.64,63.135,9,2,1,3,1,7,8,8,5,9,8.846,23.557,24.969,9,4,2,5,6,8,9,8,7,10,17.322,28.234,29.443,9,1,2,9,4,10,8,8,7,7,17.012,33.62,34.753,9,2,1,4,3,9,7,8,5,10,7.491,25.262,26.287,11,1,1,NA,NA,NA,NA,NA,3,6,4,2,5,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,3,NA,NA,NA,NA,NA,5,21.659,21.659,22.885,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,3,1,5,179,2,4,2,3,1,5,1,3,2,4,1,5,5ad0d477-15f0-4c3a-9fac-75cfcf5c97d9,574,allerede har dannet,Alternativet,control,2,NA,NA,1,NA,NA,2,1,3,4,3,2,1,4,NA,NA,NA,NA,1,NA,NA,NA,1,2,4,3,1,5
2018-04-13 12:15:18,2018-04-13 12:16:02,0,100,44,1,2018-04-13 12:16:03,R_Rqx9UkOdm3HrezT,anonymous,EN,1,1,19,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5ad0d770-0e72-415d-abd5-a69c050c8470,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
